,4-hydroxy-proline,(4-oxoproline),ergothioneine,asparagine,serine,pantothenate,"3',5'-cyclic-AMP",(dehydroalanine),urocanate,glutamate,xanthine,(3-methyladenine),aminoadipic acid,aspartate,(glycero-3-phosphoethanolamine),"(2,3-dihydroxy-3-methylbutanoate)",adenosine,fumarate,glutamine,lactate,monosaccharide (glucose),thymine,biotin,xylitol,(queuine),adenine,inosine,hypoxanthine
rplo 189 (Chloroflexi),-0.016257579,0.014723385,0.019014778,0.011391824,0.0023654893,-0.020551741,-0.02157339,0.006889548,-0.018850483,0.017640883,-0.017128319,-0.018678244,-0.009194049,0.008350656,-0.019414047,-0.014643658,0.012010225,-0.011144702,0.019329196,-0.003953373,-0.01220443,-0.015139026,0.00382552,-0.016686223,-0.0072825714,-0.014963354,0.014266082,-0.009630731
rplo 190 (Planctomycetes),-0.020563712,0.018157102,0.024923477,0.019612813,0.013678129,-0.01953772,-0.01834714,0.017307412,-0.021163013,0.018331937,-0.02030721,-0.0176731,-0.020154066,0.018138861,-0.0028216129,-0.018579196,0.02311579,-0.016508691,0.020340944,-0.017238209,-0.015484354,-0.020375807,0.013671391,-0.018311087,0.004436508,0.001863025,0.01218603,-0.020059798
rplo 191 (Bacteroidetes),0.008881291,-0.0076277107,-0.0038781795,-0.01374916,-0.008533408,0.0069135646,0.007750839,-0.009893756,0.004894966,-0.011304984,0.009675668,0.0037577618,0.008425566,-0.007557395,-0.009517556,0.006021534,-0.009737452,-0.001454867,-0.0075292103,0.012869695,0.004767637,0.012409219,-0.015352122,0.00029555257,-0.017103327,-0.01125587,-0.001959389,0.00927849
rplo 192 (Actinobacteria),0.016915403,-0.00641915,-0.013903396,-0.0098571405,-0.0052567697,0.0077511244,0.0074272454,-0.011905146,0.010414685,-0.0037042776,0.010082648,0.014094949,0.017235136,-0.0131752705,0.0036665534,0.006475626,-0.01587941,0.018009482,-0.0026130879,0.006502267,0.012410909,0.014693631,-0.006659283,0.010822499,-0.002258592,0.003062901,-0.005070275,0.017878987
rplo 194 (Proteobacteria),0.003759873,-0.005052392,-0.009205,-0.012685277,-0.011821585,-0.00010138249,0.0004984914,-0.015213876,0.0015695164,-0.0019275236,0.00496228,0.0022185638,0.013430661,-0.01245795,-0.01729029,0.008657791,-0.01610766,0.0124734305,-0.0014341383,0.015287339,0.006676233,0.008103655,-0.015298325,0.0051544593,-0.02460214,-0.025866816,0.007914123,0.009974969
rplo 196 (Thermotogae),-0.0037283683,0.0062096156,0.006818467,0.0068107527,-0.0034672753,-0.005588349,-0.013111741,0.003549925,-0.0037081977,0.007933082,-0.0053929556,-0.0028609175,0.0010865667,0.0024122582,-0.005324545,-0.009082434,0.004360495,0.0044029774,0.005518613,-0.003969508,-0.0009752522,-0.0022065667,0.0060746074,-0.0023077633,0.01221969,0.0074349213,0.0003396652,0.0045200554
rplo 197 (Actinobacteria),-0.00430207,0.002116319,0.0013983549,-0.0038761212,-0.0035682213,-0.004819723,-0.003933855,-0.0036531389,-0.005474059,0.0019065994,-0.0014226432,-0.0064556724,0.003739636,-0.00066360156,-0.018764501,-0.00055401557,-0.0046770675,-0.0016459199,0.002947188,0.012455659,0.0009252086,0.00022226434,-0.010492973,-0.003823334,-0.020963468,-0.019582849,0.010832771,0.0029601697
rplo 198 (Acidobacteria),-0.0078004557,0.010035835,0.012245268,0.018664263,0.01755581,-0.007469856,-0.007786697,0.018203825,-0.011580999,0.0024982796,-0.011805388,-0.010885731,-0.019863032,0.015342807,0.0052086343,-0.012625804,0.016735429,-0.014291747,0.006732111,-0.016974654,-0.008529022,-0.013549801,0.018361868,-0.006680674,0.014239551,0.006065913,0.00829341,-0.015653266
rplo 199 (Thermobaculum),0.016055383,-0.012397643,-0.017705958,-0.009918133,-0.0018048844,0.0175298,0.019289417,-0.0072089056,0.016348612,-0.014705735,0.015086843,0.019370187,0.007989785,-0.008418485,0.018978631,0.013738936,-0.0120838825,0.011899003,-0.01731775,0.0018252218,0.008140253,0.012839981,-0.0026439822,0.014347229,0.0072304215,0.011818086,-0.014111346,0.0070245587
rplo 20 (Actinobacteria),0.0068297745,-0.008072061,-0.0050266953,-0.013028855,-0.011708512,0.008897361,0.0038521322,-0.009519207,0.0099117635,-0.008849958,0.013165609,0.0038218352,0.009324205,-0.01038501,-0.00780797,0.011218183,-0.008088313,0.00070594205,-0.0119143035,0.019557148,0.005129188,0.011640107,-0.0135306,0.001265725,-0.0029843457,-0.006020292,-0.006637875,0.012104044
rplo 200 (Actinobacteria),0.005911628,-0.0053592734,-0.0070663528,-0.009570256,-0.013130104,0.0018082204,-0.002447181,-0.013138051,0.0054731127,0.00344493,0.006015613,0.0032767067,0.015275291,-0.013155012,-0.009621611,0.00680086,-0.013331647,0.012701954,0.0012739748,0.009560031,0.011055303,0.011504552,-0.009087025,0.005425149,-0.009185054,-0.008097289,0.0014377651,0.017529255
rplo 202 (Firmicutes),-0.019430017,0.018903738,0.019103784,0.017505474,0.022878781,-0.022010488,-0.018244712,0.02323938,-0.021089343,0.022544215,-0.025270132,-0.022586368,-0.023304652,0.0255099,-0.000467541,-0.018428417,0.018114276,-0.024856474,0.016850395,-0.014381612,-0.023016026,-0.025793202,0.017937172,-0.029283967,0.0013134042,-0.0013347298,0.016780477,-0.025737992
rplo 203 (Chloroflexi),0.01444388,-0.012690667,-0.017157855,-0.012204678,-0.0061934055,0.015008569,0.0140088545,-0.010128925,0.015029584,-0.0129729165,0.014164559,0.01796717,0.010082878,-0.012042366,0.014277843,0.014398439,-0.011334834,0.016516015,-0.0144673595,0.0017095521,0.0109326765,0.013795922,-0.0052204374,0.014593908,0.004602552,0.009710904,-0.011283965,0.008436641
rplo 205 (Deinococcus-Thermus),0.004868169,-0.01111677,-0.004039009,-0.0011609787,-0.0015892184,0.012878512,0.015635544,-0.0020999208,0.01472737,-0.013436753,0.008858756,0.0028546802,-0.0062290286,-0.004564187,0.019147387,0.01000394,0.0028760291,-0.01017038,-0.011159583,-0.00022760419,-0.0061303168,0.001677779,0.004308835,0.006856746,0.018529946,0.009695166,-0.017382924,-0.0047412505
rplo 206 (Actinobacteria),-0.011688455,0.01409142,0.01209159,0.016869454,0.016024375,-0.010414749,-0.016908666,0.019960256,-0.011271328,0.010141765,-0.013215359,-0.014172801,-0.013984368,0.01850062,-0.0024364113,-0.014625576,0.012206993,-0.009674951,0.007325947,-0.007190407,-0.0059734024,-0.010705662,0.014781325,-0.012430203,0.0112304315,0.0053550247,0.015867155,-0.007002546
rplo 208 (Acidobacteria),-0.0068779415,0.0074108886,0.009907129,0.00736355,0.008749833,-0.006820383,-0.0035362882,0.008562955,-0.011124985,0.0072264737,-0.0065501616,-0.0067316527,-0.0074251546,0.008735911,-0.00296125,-0.006788049,0.00872936,-0.010806744,0.0064608185,-0.0053323554,-0.002202419,-0.009420785,0.0054850024,-0.007254137,-0.0014889649,-0.0006752072,0.0043259193,-0.007886941
rplo 209 (Proteobacteria),-0.018860335,0.01230466,0.017109625,0.015743993,0.009729306,-0.011635231,-0.010247331,0.017410547,-0.013044175,0.011011673,-0.014907312,-0.0128922025,-0.01545021,0.019357326,0.0018142504,-0.015678668,0.019843541,-0.015847152,0.011514992,-0.01545815,-0.009159708,-0.0155161265,0.009882675,-0.011756183,0.005359914,0.011828203,0.0049293,-0.015109517
rplo 211 (Actinobacteria),0.014358677,-0.0034211373,-0.010625796,-0.010427456,3.8230504e-05,0.0053397752,0.005242492,-0.008005155,0.0026795,-0.0039816923,0.008713291,0.010129366,0.015496676,-0.009145704,-0.0049987463,0.005333888,-0.014497779,0.015182035,-0.0047898917,0.010500509,0.015551631,0.010732744,-0.0063832207,0.007803678,-0.008549308,-0.00620916,0.002544235,0.014610505
rplo 212 (unknown),0.021077337,-0.021242494,-0.023779972,-0.020711558,-0.018945556,0.02393322,0.01923675,-0.017538704,0.018896354,-0.02664536,0.02471458,0.021630364,0.018423324,-0.018496595,-0.0015451318,0.019978216,-0.021303354,0.016983606,-0.026238503,0.011213678,0.023219656,0.02647349,-0.017580833,0.022867734,-0.009396758,-0.0008455525,-0.012281942,0.02175023
rplo 214 (Bacteroidetes),-0.010835093,0.012844899,0.021461524,0.012440591,0.011354495,-0.012354219,-0.012666588,0.0134110125,-0.013892556,0.010619471,-0.012478687,-0.011990789,-0.014599132,0.013090955,0.0014358652,-0.014407408,0.018138058,-0.015133411,0.012992363,-0.012749441,-0.011765408,-0.012069716,0.0111098625,-0.016420228,0.009638896,0.0053444924,0.0047512595,-0.01300573
rplo 215 (Verrucomicrobia),0.0058024502,0.00096055015,-0.00092418544,0.007471744,0.0057163043,0.0045207124,0.0045668315,0.0050909906,0.008655123,-0.0027874147,0.000801037,0.006690361,-0.0037916899,0.0019531576,0.019770114,-0.004183484,0.0064561963,0.00023274597,-0.00037286684,-0.0064180517,-0.008010795,-0.0012604138,0.009197279,0.002557061,0.02602396,0.024711832,-0.013997731,-0.0021338104
rplo 217 (Proteobacteria),0.003428124,-0.009635838,-0.006273235,-0.014147707,-0.013037787,0.007981855,0.0061582355,-0.010548443,0.003522818,-0.007666664,0.011923052,0.005001372,0.008448034,-0.0093159685,-0.011447711,0.012928247,-0.00900695,0.001340369,-0.010329871,0.010994021,0.012680612,0.012003913,-0.016594958,0.0041815867,-0.019313142,-0.0103883445,-0.0011834466,0.009626514
rplo 218 (Firmicutes),-0.0013645266,-0.004456922,-0.0045067673,-0.0063796546,-0.009231623,0.0020789707,0.0012546288,-0.009870035,0.0011291414,-0.0067641707,0.0043928837,0.0016199873,0.009247224,-0.009647953,-0.009673488,0.0058887745,-0.0053856187,0.015186531,-0.0030140653,0.008161112,0.010512911,0.0028035885,-0.006589794,0.014004538,-0.0074746744,-0.015308984,0.0040751575,0.0047733593
rplo 219 (Thermotogae),-0.0266795,0.026046958,0.030093707,0.027677398,0.0237441,-0.026003892,-0.027197821,0.029052502,-0.027699776,0.022138102,-0.028684182,-0.026667066,-0.026521435,0.029041804,-0.006069833,-0.027725648,0.02975241,-0.021745594,0.022472935,-0.018143157,-0.019516196,-0.029727962,0.022473695,-0.024777938,0.011784549,0.0025899308,0.020175591,-0.025904316
rplo 22 (Actinobacteria),0.013943592,-0.003439832,-0.009487121,-0.006791929,-0.005670552,0.0017354628,0.0022422962,-0.0100177955,0.0022873702,-0.0035520694,0.00355962,0.01203365,0.008406359,-0.010338705,-0.0021289582,0.0028522813,-0.0113067785,0.013337779,-0.0026244884,-0.0005017034,-7.549682e-05,0.0062485323,-0.0037445412,0.0042799087,-0.0042201933,-0.0051227193,-0.0045721843,0.0049174456
rplo 222 (Proteobacteria),-0.008516067,0.010373208,0.016285714,0.011047924,0.016267342,-0.008955941,-0.0034928748,0.012300607,-0.004010136,0.01295026,-0.0106787,-0.012080573,-0.014228647,0.01272024,0.014659814,-0.010175198,0.014777725,-0.020467961,0.014238542,-0.00560327,-0.018882954,-0.01189023,0.01070464,-0.018699199,0.012497108,0.011023372,-0.00022134611,-0.01311607
rplo 225 (Firmicutes),-0.005440509,0.0076970696,0.0079076765,0.01235867,0.012493521,-0.008851016,-0.008572175,0.011014083,-0.0070547764,0.002576752,-0.012075671,-0.00852147,-0.016738264,0.009786123,0.006914396,-0.009286995,0.011470173,-0.008540544,0.0081275925,-0.015006454,-0.014847165,-0.010363299,0.0125607,-0.0091574835,0.00870301,0.0009902968,0.0076996195,-0.01603255
rplo 226 (Actinobacteria),0.0015685277,0.0045728004,-0.0005033701,0.0031260743,0.007908079,0.000471097,-0.0029976135,0.005752504,-0.004993326,-0.0034906303,0.0014063914,-0.001644587,0.0028603387,0.0040163146,-0.01025635,-0.0038122346,-0.0020077082,0.0047303615,-0.002495644,0.007847951,0.011490967,0.0015607098,0.0010061762,0.004342745,-0.0025422117,-0.0059486534,0.012096912,0.006769892
rplo 227 (Actinobacteria),0.014072609,-0.0063560633,-0.01647192,-0.005537123,-0.0015766339,0.008841539,0.008657215,-0.008347888,0.010056929,-0.0059868605,0.008696416,0.013744444,0.01280565,-0.010347634,0.0067368383,0.0077653765,-0.014826137,0.019953368,-0.0071612806,0.004423627,0.010883434,0.009325008,5.9745005e-05,0.015535281,0.004010686,0.0010172921,-0.0033863583,0.011894295
rplo 228 (Proteobacteria),-0.012531919,0.003985297,0.012510282,0.008966306,0.008305244,-0.003432914,7.617688e-05,0.013670695,-0.004049359,0.0028729928,-0.007864177,-0.009135486,-0.017383391,0.014517376,0.012145088,-0.00654994,0.018683393,-0.02203342,0.0029534989,-0.012660376,-0.013030213,-0.012125837,0.007953906,-0.011757124,0.010299356,0.015905181,-0.005633358,-0.017863834
rplo 230 (Proteobacteria),-0.0158338,0.019069653,0.01841688,0.018545888,0.01067445,-0.018478515,-0.019401416,0.01316347,-0.016308932,0.024217239,-0.01765945,-0.010984962,-0.009395398,0.012866081,-0.0025935709,-0.01825905,0.0169321,-0.003709347,0.023081189,-0.01059424,-0.010013162,-0.016120985,0.01110778,-0.013366585,0.007961745,0.010065889,0.009462764,-0.008711022
rplo 231 (Bacteroidetes),0.005989737,-0.0022026377,-0.006397318,-0.0036374917,-0.006639525,0.003093931,0.0013368767,-0.008576671,4.3490996e-05,-0.003667548,0.0060516326,0.008306357,0.015418601,-0.010572473,-0.00797095,0.002163191,-0.0077146483,0.021628575,-0.0012308592,0.0042767157,0.019117996,0.00541722,-0.0023223625,0.018396217,-0.00056204124,-0.005093405,0.00045411347,0.013085497
rplo 232 (Bacteroidetes),0.016410546,-0.023380449,-0.02512282,-0.022731278,-0.019360729,0.023244603,0.025064863,-0.020254895,0.024088329,-0.023512006,0.022887845,0.020196525,0.015808288,-0.019647785,0.008343346,0.023971602,-0.018284138,0.012713635,-0.023319548,0.013411641,0.012534566,0.020473754,-0.019553455,0.020213062,-0.008767934,0.002356919,-0.019042853,0.012797804
rplo 235 (Bacteroidetes),-0.017974319,0.017022345,0.015093417,0.012738336,0.016247785,-0.01555157,-0.017391771,0.01707156,-0.015316273,0.015368345,-0.015860062,-0.01578622,-0.009460659,0.017564967,-0.0053854347,-0.015285275,0.01503525,-0.004577201,0.014073858,-0.0019485733,-0.004329507,-0.015380162,0.0085618375,-0.013242461,0.001980238,0.0017666754,0.018724909,-0.01037077
rplo 237 (Firmicutes),-0.010352866,0.016142812,0.014491413,0.016260961,0.01502732,-0.014726703,-0.021392772,0.021444816,-0.020200439,0.012056363,-0.0165286,-0.015568124,-0.013256804,0.020571664,-0.013684785,-0.018702853,0.010944101,-0.012527798,0.0058347303,-0.01081889,-0.0048918994,-0.014725621,0.0172325,-0.016294738,0.006725586,-0.0024686214,0.016923243,-0.008527447
rplo 238 (Acidobacteria),-0.009447684,0.011786307,0.014651056,0.020243945,0.017346159,-0.009398538,-0.005332406,0.017523952,-0.010454547,0.0057899486,-0.013519114,-0.010987155,-0.019909894,0.01567962,0.008923182,-0.014294342,0.018700043,-0.017831663,0.009163721,-0.015239268,-0.01679302,-0.019178962,0.019578094,-0.008793372,0.019486463,0.0074864654,0.00058466604,-0.019617908
rplo 240 (Actinobacteria),-0.0013730567,0.002664846,0.0012030541,-0.005036445,0.004064646,-0.0021562595,0.00062397553,0.0012953304,-0.0010379204,-0.00013744395,-0.0009147667,-0.003866685,0.002652498,0.004045456,-0.005679307,-0.0028000888,-0.0010519878,-0.004048975,0.0016367364,0.011487786,-0.001576991,0.0004949375,-0.008649544,-0.0074664312,-0.012597881,-0.0043112612,0.0056849243,0.00054968515
rplo 243 (Cyanobacteria),-0.023211302,0.017180696,0.020529041,0.016779656,0.013371166,-0.020397976,-0.018737603,0.01643828,-0.02126245,0.023930853,-0.02132941,-0.018639175,-0.013312571,0.017811261,-0.0028847263,-0.016019844,0.018198011,-0.009469447,0.019751418,-0.016119227,-0.007016636,-0.022477161,0.016617049,-0.01410642,0.003915679,-0.00031354142,0.0149157,-0.016792301
rplo 247 (Firmicutes),0.00892876,-0.011750495,-0.015256532,-0.013021806,-0.00896751,0.015014969,0.013405306,-0.006047784,0.007841559,-0.011213516,0.014188606,0.013750251,0.011035965,-0.004890136,-0.002367466,0.011887708,-0.012475132,0.0072167367,-0.018401492,0.007459308,0.01771182,0.01351363,-0.011574582,0.010937707,-0.011798582,0.00555263,-0.006393779,0.012140388
rplo 248 (Cyanobacteria),-0.008483234,0.009480057,0.013869282,0.015297724,0.01710728,-0.007673427,-0.0023933295,0.016123516,-0.007977981,0.0046667648,-0.011540899,-0.010839801,-0.021690823,0.014718678,0.010470992,-0.01064043,0.01960839,-0.023104148,0.007414352,-0.010336668,-0.021257093,-0.01801346,0.014042072,-0.014405154,0.015031779,0.009546074,-0.0017167683,-0.022373416
rplo 249 (Proteobacteria),0.016811376,-0.008076244,-0.016463378,-0.014630732,-0.009301519,0.011147498,0.006844904,-0.011123451,0.012363067,-0.0116948215,0.013189767,0.015152948,0.019587107,-0.0114213005,-0.0037259182,0.0069275512,-0.017486881,0.019448536,-0.012790967,0.014971042,0.013382613,0.016857872,-0.012204329,0.011004566,-0.0036619015,0.0014102228,-0.0056859865,0.019505728
rplo 25 (Acidobacteria),-0.015674436,0.017693587,0.017045137,0.02552643,0.02495963,-0.013872202,-0.013680466,0.0255398,-0.016920272,0.0083054975,-0.019326571,-0.014323789,-0.024023093,0.022632122,0.007713169,-0.019755477,0.02488534,-0.0117888125,0.012661886,-0.020197185,-0.012482294,-0.022641443,0.023712104,-0.009111316,0.02003906,0.011477872,0.012729713,-0.023288364
rplo 250 (Actinobacteria),0.0030332806,0.0023257015,-0.0017127225,0.009422117,0.012055048,0.0008218592,0.005951984,0.0074332235,0.002545828,0.00084005133,-0.004779544,0.0046829428,-0.0101066185,0.007114924,0.021511165,-0.004617966,0.0045205285,-0.0033288202,0.0031014928,-0.015247475,-0.011263826,-0.0043696184,0.011440059,-0.0013115931,0.0122761,0.016727502,-0.004910279,-0.010083706
rplo 253 (Actinobacteria),0.0056499224,-0.010283307,-0.0065451674,-0.009474644,-0.020251358,0.0074381675,-0.0006883727,-0.013922887,0.0073615676,-0.00823077,0.011054541,0.0027940802,0.013517313,-0.015764052,-0.015102676,0.009420829,-0.0103347935,0.010245569,-0.007898381,0.01057589,0.014853885,0.012778091,-0.009322399,0.013191852,-0.0029728315,-0.010687517,-0.0035454216,0.017989079
rplo 254 (Proteobacteria),-0.0049361377,0.009133367,0.008817817,0.016572788,0.014955418,-0.0047048177,-0.003947597,0.016319267,-0.0041991714,0.0019506236,-0.008551166,-0.005685175,-0.018945491,0.013203586,0.010294067,-0.010337348,0.017410373,-0.016276048,0.0039758924,-0.009048026,-0.017866822,-0.013598056,0.012995813,-0.009969109,0.02007166,0.015932525,-0.0031843693,-0.01652533
rplo 256 (Acidobacteria),0.009558564,-0.007819715,-0.00991651,-0.007675443,0.0017118182,0.009882662,0.015786735,-0.0058311652,0.013370143,-0.005878982,0.008023325,0.010300385,0.00542724,-0.0054819714,0.020036954,0.009240021,-0.0076646465,0.0046195877,-0.0074882735,0.0029025015,-0.00095297606,0.005077671,0.00013812467,0.0059380545,0.0077266083,0.007880827,-0.012381566,0.0013336048
rplo 258 (Actinobacteria),0.011918373,-0.0018939802,-0.011061378,-0.003908145,-0.0013032636,0.0023953007,0.0020907447,-0.007652825,0.0040793624,0.0011274598,0.003996141,0.009283954,0.012970481,-0.008540029,-0.00031134556,0.0021307117,-0.013684128,0.017012827,0.0018139433,0.0024883575,0.010490385,0.009216213,-0.0019563583,0.008938324,-0.0043947706,-0.0016482456,0.0024823635,0.01385854
rplo 260 (Acidobacteria),-0.0010335403,-0.006172683,0.0035052479,-0.0038770211,-0.009865466,0.006391859,0.0026707968,-0.0019281443,0.0057970607,-0.007876624,0.005658642,-0.00074947526,-0.0011469509,-0.0012361272,6.345541e-05,0.002608494,0.0028932532,-0.008035887,-0.006723162,0.00066589465,0.0001399585,0.0064386516,-0.004988088,-0.00031711406,0.002972114,0.005602659,-0.008564982,0.0032349944
rplo 261 (Bacteroidetes),-0.011068128,0.017490275,0.013882621,0.016053338,0.019793669,-0.014671648,-0.019430093,0.022078643,-0.016970918,0.014696007,-0.015791591,-0.01387277,-0.016542656,0.02045542,-0.005164434,-0.015924895,0.014615756,-0.013670486,0.00939475,-0.007598192,-0.010066106,-0.014678565,0.013322817,-0.02073845,0.0065690316,0.0053981226,0.01637192,-0.012298226
rplo 262 (Actinobacteria),0.013916876,-0.0033804837,-0.012010719,-0.01124595,0.0005023687,0.0055425395,0.0065327496,-0.008318689,0.0038870287,-0.0026716406,0.008894451,0.011356885,0.01659111,-0.008727946,-0.0025549033,0.006145559,-0.01576096,0.0163813,-0.0044568367,0.010944427,0.015509988,0.0111594675,-0.007491402,0.0077045704,-0.010031668,-0.004916492,0.002324802,0.014813242
rplo 263 (Cyanobacteria),-0.01560696,0.0180031,0.02041569,0.018836586,0.0121823475,-0.018144997,-0.015719645,0.013144604,-0.01784745,0.018009571,-0.01758639,-0.014476002,-0.014125526,0.013924878,-0.006127981,-0.01828582,0.017302953,-0.012320347,0.021524603,-0.009010974,-0.0147715155,-0.017290661,0.009529106,-0.014869921,0.0016596712,-0.00043917052,0.011005784,-0.01333031
rplo 266 (Proteobacteria),-0.00562501,0.0034317963,0.005089199,-0.0007818089,0.008335841,-0.0054075187,-0.0022621765,0.0033152574,-0.0043052877,0.007874643,-0.004287946,-0.0075956713,-0.008369606,0.004216468,0.0019492805,0.0032195663,0.002693083,-0.010742951,0.0022136758,0.004204393,-0.01116866,-0.007578476,0.0017471025,-0.013931223,-0.004138997,-0.009340396,0.006060634,-0.011122875
rplo 267 (Proteobacteria),-0.00037885617,-0.0057599097,-0.0059655095,-0.009388739,-0.018433731,0.0014616655,-0.0067645498,-0.011480016,0.00161273,-0.0029168488,0.0059759472,0.0011695218,0.011506229,-0.011844939,-0.019627452,0.008250579,-0.009176,0.012783723,-0.007044258,0.011087891,0.010768651,0.006755563,-0.01027369,0.007849956,-0.00865184,-0.015950497,0.0023502728,0.011356636
rplo 269 (Actinobacteria),0.011860286,-0.009375855,-0.009677711,-0.008167317,-0.0045247595,0.01213975,0.013582365,-0.008050426,0.008746686,-0.008516097,0.012048739,0.012807673,0.01002262,-0.009128921,0.007217926,0.00811935,-0.007959458,0.008740824,-0.005967187,0.00092851964,0.015333918,0.013473194,-0.0063904924,0.012773705,-0.0032823074,0.009486183,-0.007850301,0.012114686
rplo 27 (Proteobacteria),-0.008445485,0.010214822,0.0072425525,0.016968235,0.018309474,-0.0057464032,-0.006105559,0.020642739,-0.007533618,0.003026345,-0.011926848,-0.0053199474,-0.015682073,0.01891276,0.01361159,-0.013705474,0.016120015,-0.00692822,0.003965977,-0.019445844,-0.0059522693,-0.013071691,0.018312799,-0.004550253,0.018866852,0.019333113,0.0042094584,-0.014868232
rplo 270 (Actinobacteria),-0.003416175,-0.0011510962,0.0009343416,-0.0042570913,-0.007870185,-0.0042089676,-0.0015522841,-0.0076224864,-0.004295397,0.0051573934,-0.000538785,-0.0063435435,0.0040578786,-0.0046539675,-0.017128997,0.0025579638,-0.006241611,-0.004858919,0.0058387225,0.008339734,0.0016435636,0.0016507194,-0.010412421,-0.002878554,-0.023239605,-0.019583894,0.0072311657,0.004623503
rplo 271 (Proteobacteria),0.003852564,-0.0065447106,-0.0032598213,-0.014853917,-0.010348353,0.0015760403,0.0027374988,-0.015716633,0.0043551163,-0.0021244073,0.006837461,0.0030372753,0.009098889,-0.0139668705,-0.0052933544,0.011147934,-0.009294533,0.008213952,0.0005258785,0.011105027,0.0028035662,0.009696231,-0.014937725,0.00058795454,-0.017523559,-0.01651488,0.0020795376,0.0056964373
rplo 273 (Acidobacteria),0.009221941,-0.0031907714,-0.0031281367,0.0010745048,0.00065108994,0.0048511205,0.0066302363,-0.0032633936,0.011450588,-0.0068042846,0.0031758507,0.006011959,-0.000285006,-0.006402335,0.015920121,0.000102251324,0.0028183481,0.0020778393,0.00094333803,-0.00087297807,-0.008781696,0.0017769751,0.002934773,0.0042731836,0.018816072,0.014195204,-0.013904905,-0.0008511319
rplo 274 (Bacteroidetes),-0.002390838,-0.0016963353,-0.0054115523,-0.0041607465,-0.008012658,0.00090143847,-0.003929353,-0.0062454236,0.0008980959,-0.0008631444,0.0031096416,0.003719354,0.010945975,-0.007416981,-0.0069845365,0.0042422777,-0.004146044,0.020438286,-0.00241167,0.00548178,0.013932112,0.0023547374,-0.0031961696,0.013252315,6.5753076e-05,-0.004645626,0.0038281225,0.0075294357
rplo 276 (Bacteroidetes),-0.00952087,0.0059311884,0.008014375,0.016719684,0.011297559,-0.0054344577,-0.0016364214,0.01225564,-0.001716427,0.0019792602,-0.010914985,-0.008670521,-0.0211379,0.010711963,0.014363747,-0.007361416,0.017035734,-0.01585631,0.0057998155,-0.012212277,-0.023041062,-0.016824776,0.014920035,-0.006587557,0.019610213,0.009485075,-0.003715741,-0.021933563
rplo 277 (Chloroflexi),0.0059321783,-0.00045586666,-0.0024599715,0.001533651,0.0042285775,0.0066528064,0.0074482183,0.0023977607,0.0060046148,-0.0046939016,0.0050226394,0.009068781,0.003438228,0.00021976262,0.013391353,-0.0005812357,0.0016937422,0.005901727,-0.005222476,-0.00072295265,0.0034340248,0.0008311087,0.005280274,0.0075512584,0.01805905,0.016710429,-0.011331728,0.0023507725
rplo 278 (unknown),0.009565847,-0.0020938886,-0.009224011,-0.0038013204,-0.0032845524,0.0012488776,0.0013666031,-0.009054922,0.0033426282,0.0015747269,0.0028601275,0.007689354,0.012890141,-0.009783107,-0.0012773519,0.0016994039,-0.011724443,0.017744357,0.003930049,0.0019120029,0.01004726,0.0076572057,-0.0020802508,0.010116287,-0.0044052433,-0.0028526892,0.0023711356,0.012450773
rplo 28 (Proteobacteria),-0.0051437346,-0.006357709,-0.0004654486,-0.0032988286,-0.012090743,0.0068635084,0.00095552794,-0.00046360755,0.0007793869,-0.01188919,0.0063509946,-0.001490158,0.0010099357,0.00027237213,-0.012835349,0.0035897521,0.00096685166,-0.002745921,-0.012269928,0.0034942108,0.010884496,0.0050823824,-0.007217909,0.007778336,-0.005668894,-0.0035391122,-0.00083017326,0.004773377
rplo 281 (Chloroflexi),0.004738612,-0.009658368,-0.012499648,-0.013983961,-0.018652037,0.006032774,-0.00069587794,-0.013541171,0.004160552,-0.007576991,0.0097015975,0.0075357216,0.0125529505,-0.012618271,-0.01668132,0.012424269,-0.014797488,0.014618362,-0.0122977765,0.009662324,0.013020179,0.012370042,-0.0145082595,0.009169904,-0.016773343,-0.015458208,0.001892334,0.012340694
rplo 282 (Acidobacteria),-0.004208939,-8.0837126e-05,-0.0024647957,-0.0023413878,-0.0061529805,-0.0028204308,-6.4883893e-06,-0.008316682,-0.00068708824,0.0021454745,-0.000565861,0.0016291302,0.0097374525,-0.0069140177,-0.0043622064,0.0013280584,-0.0035304918,0.016027866,0.0061057303,0.0026762763,0.007927227,-0.0006754387,-0.004361317,0.01171608,-0.007360525,-0.009166681,0.0035918367,0.0034758016
rplo 284 (Acidobacteria),-0.015785482,0.012082856,0.015901273,0.014324964,0.010369322,-0.016808346,-0.013769911,0.012832341,-0.012035655,0.012245148,-0.018849496,-0.017907184,-0.017485911,0.013028416,0.000553725,-0.014027437,0.01850018,-0.016755762,0.015221592,-0.011577538,-0.021322096,-0.021415086,0.012966505,-0.016109813,0.009199037,-0.000734788,0.00541062,-0.021608489
rplo 287 (Chloroflexi),0.010152928,-0.014126927,-0.016364833,-0.014622421,-0.018174227,0.014656897,0.009604463,-0.013388771,0.01283302,-0.014940296,0.015982918,0.017401272,0.015024219,-0.014402013,0.00026424555,0.014348069,-0.011322902,0.018886646,-0.016908903,0.0042641987,0.017964642,0.016007336,-0.012704776,0.01839772,-0.0022120934,0.005717263,-0.012183629,0.013832795
